,title,year,runtime,genre,average rating,total votes,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
10155,Blue Iguana,2018,100,"Action,Comedy,Crime",5.4,1465,,,,,,,,,
10156,Going Down in LA-LA Land,2011,104,"Comedy,Drama,Romance",6.2,2188,,,,,,,,,
10157,The Second Sight,2013,90,Horror,5.2,193,,,,,,,,,
10158,Four Black Suits,2010,90,Comedy,5.4,631,,,,,,,,,
10159,Bullhead,2011,129,"Crime,Drama",7.4,20708,,,,,,,,,
10160,Racer and the Jailbird,2017,130,"Crime,Drama,Romance",6.4,3106,,,,,,,,,
10161,For 80 Days,2010,104,"Drama,Romance",7.3,453,,,,,,,,,
10162,Flowers,2014,99,Drama,6.9,2362,,,,,,,,,
10163,The Giant,2017,114,"Drama,History",6.8,2638,,,,,,,,,
10164,For 80 Days,2010,104,"Drama,Romance",7.3,453,,,,,,,,,
10165,Flowers,2014,99,Drama,6.9,2362,,,,,,,,,
10166,Dreaming Mali,2010,80,Documentary,7.8,8,,,,,,,,,
10167,Cannibal,2013,116,"Drama,Romance,Thriller",5.9,2926,,,,,,,,,
10168,The Motive,2017,112,"Comedy,Drama",6.6,3196,,,,,,,,,
10169,Heartbeats,2010,101,"Drama,Romance",7.2,24426,,,,,,,,,
10170,Tom at the Farm,2013,102,"Drama,Mystery,Thriller",7,13896,,,,,,,,,
10171,Mommy,2014,139,Drama,8.1,43020,,,,,,,,,
10172,What's Left of My Life,2016,108,"Comedy,Drama",6.3,63,,,,,,,,,
10173,Caged,2010,84,"Horror,Thriller",5.3,1853,,,,,,,,,
10174,A Perfect Man,2015,104,"Drama,Thriller",6.7,2803,,,,,,,,,
10175,Burn Out,2017,107,"Action,Thriller",6.1,1792,,,,,,,,,
10176,No Fun City,2010,85,"Documentary,Music",8,17,,,,,,,,,
10177,Pub Crawl,2012,108,"Adventure,Comedy,Thriller",8.3,9,,,,,,,,,
10178,Kto ya?,2010,98,"Drama,Mystery",6.4,128,,,,,,,,,
10179,Salyut-7,2017,111,"Action,Drama,History",7.2,7340,,,,,,,,,
10180,Badmaa$h Company,2010,142,"Comedy,Crime,Drama",6,5640,,,,,,,,,
10181,Vinnaithaandi Varuvaayaa,2010,157,"Drama,Romance",8,4287,,,,,,,,,
10182,Yennai Arindhaal,2015,168,"Action,Thriller",7.3,7243,,,,,,,,,
10183,Amour,2012,127,"Drama,Romance",7.9,84960,,,,,,,,,
10184,Amphetamine,2010,97,"Drama,Romance",5.4,773,,,,,,,,,
10185,Princess,2014,92,Drama,6.1,439,,,,,,,,,
10186,Zombie Beach,2010,71,"Action,Comedy,Horror",6,542,,,,,,,,,
10187,Caught Inside,2010,93,"Action,Adventure,Thriller",5.4,639,,,,,,,,,
10188,The Kiss of Evil,2011,94,"Crime,Drama,Mystery",6,1147,,,,,,,,,
10189,Yakuza-Busting Girls: Duel in Hell,2010,73,Action,4.6,92,,,,,,,,,
10190,Yakuza-Busting Girls: Final Death-Ride Battle,2010,93,"Action,Crime,Drama",4.7,110,,,,,,,,,
10191,Love,2012,128,"Drama,Romance",6.6,1326,,,,,,,,,
10192,"Kokoschka, Oeuvre-Vie",2017,91,"Biography,Documentary",8,5,,,,,,,,,
10193,American Reunion,2012,113,Comedy,6.7,192250,,,,,,,,,
10194,Ein Tick anders,2011,86,"Comedy,Drama,Family",6.7,882,,,,,,,,,
10195,Necronos,2010,127,Horror,3.8,186,,,,,,,,,
10196,The Happy Poet,2010,85,"Comedy,Drama,Romance",6.1,221,,,,,,,,,
10197,That's What I Am,2011,101,"Comedy,Drama,Romance",7.1,9979,,,,,,,,,
10198,The Reunion,2011,90,"Action,Drama",5.3,3616,,,,,,,,,
10199,Mr. Local,2019,155,"Action,Comedy,Drama",3.3,381,,,,,,,,,
10200,A Christmas Snow,2010,110,"Comedy,Drama,Family",6.2,552,,,,,,,,,
10201,Khurafat: Perjanjian syaitan,2011,80,Horror,6.6,87,,,,,,,,,
10202,Munafik 2,2018,121,Horror,6.8,1304,,,,,,,,,
10203,Goodnight Nobody,2010,76,"Biography,Documentary",7.1,85,,,,,,,,,
10204,Sushi Girl,2012,98,"Crime,Mystery,Thriller",6,4367,,,,,,,,,
10205,L'amour fou,2010,98,Documentary,6.8,924,,,,,,,,,
10206,My Way,2011,137,"Action,Drama,War",7.8,9312,,,,,,,,,
10207,Salut d'Amour,2015,112,"Drama,Romance",7.3,342,,,,,,,,,
10208,Win Win,2011,106,"Comedy,Drama,Sport",7.2,51618,,,,,,,,,
10209,Spotlight,2015,129,"Crime,Drama",8.1,365110,,,,,,,,,
10210,Jag saknar dig,2011,125,Drama,6,926,,,,,,,,,
10211,Six-Pack Movie,2011,80,"Comedy,Drama",5.4,1263,,,,,,,,,
10212,The Other Dream Team,2012,89,"Documentary,Sport",8.4,3332,,,,,,,,,
10213,In the Matter of Cha Jung Hee,2010,64,"Documentary,Family,History",7.8,24,,,,,,,,,
10214,Love and Other Troubles,2012,87,"Comedy,Romance",5.6,887,,,,,,,,,
10215,No Thank You,2014,97,Comedy,5.7,422,,,,,,,,,
10216,Unexpected Journey,2017,78,"Comedy,Drama",5.6,228,,,,,,,,,
10217,Keeping the Kibbutz,2010,54,"Documentary,Drama,History",6.3,7,,,,,,,,,
10218,Tell Me and I Will Forget,2010,79,"Action,Documentary,Drama",8.2,93,,,,,,,,,
10219,House Hunting,2013,102,"Horror,Mystery,Thriller",5.2,2282,,,,,,,,,
10220,Shanghai,2012,120,"Crime,Mystery,Thriller",7.2,9047,,,,,,,,,
10221,Napoli 24,2010,75,Documentary,5.4,36,,,,,,,,,
10222,Napoli 24,2010,75,Documentary,5.4,36,,,,,,,,,
10223,Là-bas: A Criminal Education,2011,98,"Crime,Drama",6.7,145,,,,,,,,,
10224,Napoli 24,2010,75,Documentary,5.4,36,,,,,,,,,
10225,Napoli 24,2010,75,Documentary,5.4,36,,,,,,,,,
10226,Better Living Through Chemistry,2014,91,"Comedy,Drama",6.3,13388,,,,,,,,,
10227,Better Living Through Chemistry,2014,91,"Comedy,Drama",6.3,13388,,,,,,,,,
10228,A Family of Three,2011,95,"Comedy,Drama",6.6,107,,,,,,,,,
10229,Band Baaja Baaraat,2010,139,"Comedy,Drama,Romance",7.2,13832,,,,,,,,,
10230,"Tiger, Blood in the Mouth",2016,97,"Drama,Sport",5.7,286,,,,,,,,,
10231,Gallants,2010,98,"Action,Comedy,Drama",6.6,818,,,,,,,,,
10232,Dong feng po,2010,126,Drama,7.3,200,,,,,,,,,
10233,Minus One,2010,82,"Drama,News,War",7.3,13,,,,,,,,,
10234,World Peace and Other 4th Grade Achievements,2010,60,Documentary,7.6,33,,,,,,,,,
10235,La comédie humaine,2010,105,Comedy,6.3,238,,,,,,,,,
10236,Chandani: The Daughter of the Elephant Whisperer,2010,88,"Documentary,Family",7.3,33,,,,,,,,,
10237,Beltracchi: The Art of Forgery,2014,93,"Biography,Crime,Documentary",7.2,1351,,,,,,,,,
10238,The Soul of Flies,2011,78,Comedy,6.7,89,,,,,,,,,
10239,El pastor,2016,98,Drama,7.2,77,,,,,,,,,
10240,A Journey to Planet Sanity,2013,90,Documentary,8.3,398,,,,,,,,,
10241,Noobz,2012,97,Comedy,4.9,1962,,,,,,,,,
10242,All About the Money,2017,90,"Action,Adventure,Comedy",6,2024,,,,,,,,,
10243,The Snow Queen,2010,99,"Drama,Romance",6,50,,,,,,,,,
10244,Rubber,2010,82,"Comedy,Fantasy,Horror",5.8,31316,,,,,,,,,
10245,Wrong,2012,94,"Comedy,Mystery",6.3,8526,,,,,,,,,
10246,Reality,2014,95,Comedy,6.9,4447,,,,,,,,,
10247,Keep an Eye Out,2018,73,Comedy,6.8,1901,,,,,,,,,
10248,The Butterfly Room,2012,87,"Horror,Thriller",5.5,1799,,,,,,,,,
10249,Yougashiten koandoru,2011,115,Drama,6.4,242,,,,,,,,,
10250,The American Dream,2011,80,"Drama,War",3.1,102,,,,,,,,,
10251,Happy,2011,76,"Documentary,Drama,Family",7.2,3014,,,,,,,,,
10252,A Fight for Survival,2010,80,"Adventure,Drama,Thriller",8.3,15,,,,,,,,,
10253,Kingdom of Dust: Beheading of Adam Smith,2011,95,"Drama,War",4.9,72,,,,,,,,,
10254,Grace,2014,95,Drama,6,176,,,,,,,,,
10255,Forgotten Transports to Poland,2010,90,"Documentary,History,War",6.7,9,,,,,,,,,
10256,Little Deaths,2011,94,Horror,4.7,2793,,,,,,,,,
10257,Little Deaths,2011,94,Horror,4.7,2793,,,,,,,,,
10258,Luz Obscura,2017,76,Documentary,5.9,30,,,,,,,,,
10259,Primates of the Caribbean,2012,80,"Animation,Comedy,Family",3.9,324,,,,,,,,,
10260,The Way Between Two Points,2010,81,Drama,8.1,9,,,,,,,,,
10261,Florence Fight Club,2010,83,"Action,Adventure,Documentary",7.1,34,,,,,,,,,
10262,Afraid of the Dark (Bruises),2010,90,Drama,6.2,49,,,,,,,,,
10263,La deuxième nuit,2016,75,Documentary,7.8,25,,,,,,,,,
10264,Worm,2013,,Drama,7.4,73,,,,,,,,,
10265,Breathless,2012,92,"Comedy,Thriller",5.1,1238,,,,,,,,,
10266,White Reindeer,2013,82,"Comedy,Drama",5.7,990,,,,,,,,,
10267,You Should Meet My Son!,2010,85,"Comedy,Romance",6.7,1508,,,,,,,,,
10268,Unter dir die Stadt,2010,105,Drama,6.3,621,,,,,,,,,
10269,One Day,2010,93,"Drama,Romance,Sci-Fi",6,436,,,,,,,,,
10270,Hunting Park,2010,75,Drama,5.4,11,,,,,,,,,
10271,Strengt hemmelig,2010,111,"Documentary,Drama",7.1,28,,,,,,,,,
10272,Desire Street,2011,82,"Comedy,Drama",7.9,50,,,,,,,,,
10273,Dark Souls,2010,95,"Horror,Thriller",5.2,1645,,,,,,,,,
10274,Dark Souls,2010,95,"Horror,Thriller",5.2,1645,,,,,,,,,
10275,Little Rose,2010,118,"Drama,History,Romance",7.1,1069,,,,,,,,,
10276,Different Mothers,2010,79,Drama,6.4,21,,,,,,,,,
10277,Gone with the Pope,2010,83,Crime,6.3,326,,,,,,,,,
10278,The Broken Moon,2010,52,"Adventure,Documentary,Drama",6.6,25,,,,,,,,,
10279,The Two Roomer,2010,85,Thriller,7.4,7,,,,,,,,,
10280,The We and the I,2012,103,Drama,6.1,1773,,,,,,,,,
10281,Goodbye First Love,2011,110,"Drama,Romance",6.6,4352,,,,,,,,,
10282,Things to Come,2016,102,Drama,7,9941,,,,,,,,,
10283,The Club,2015,98,"Comedy,Drama,Mystery",7.2,8163,,,,,,,,,
10284,And on the Third Day,2010,113,Drama,5.5,29,,,,,,,,,
10285,The Call of the Mountain,2010,53,Documentary,8.3,19,,,,,,,,,
10286,Yellow Cake: Die Lüge von der sauberen Energie,2010,112,"Documentary,History",6.8,32,,,,,,,,,
10287,Animals United,2010,93,"Adventure,Animation,Comedy",4.9,5340,,,,,,,,,
10288,Invertebrate,2011,45,Sci-Fi,7.7,16,,,,,,,,,
10289,Na igre 2. Novyy uroven,2010,86,"Action,Sci-Fi",5.3,803,,,,,,,,,
10290,We Are What We Are,2010,90,"Drama,Horror",5.7,4276,,,,,,,,,
10291,Fearless,2010,126,"Action,Comedy,Crime",6.3,25201,,,,,,,,,
10292,Besharam,2013,143,"Action,Comedy,Romance",3.6,4925,,,,,,,,,
10293,Huellas y memoria de Jorge Preloran,2010,79,"Biography,Documentary",7.8,12,,,,,,,,,
10294,Saheb Biwi Aur Gangster Returns,2013,142,"Action,Crime,Drama",6.8,3506,,,,,,,,,
10295,Bleed for This,2016,117,"Biography,Drama,Sport",6.8,21946,,,,,,,,,
10296,Zavtra,2012,90,Documentary,6.7,71,,,,,,,,,
10297,Dancing Dreams,2010,92,Documentary,7.5,345,,,,,,,,,
10298,Bad Behaviour,2010,90,"Horror,Thriller",3.8,142,,,,,,,,,
10299,Natural Selection,2011,90,"Comedy,Drama",6.4,1182,,,,,,,,,
10300,Approved for Adoption,2012,70,"Animation,Biography,Drama",7.3,526,,,,,,,,,
10301,Approved for Adoption,2012,70,"Animation,Biography,Drama",7.3,526,,,,,,,,,
10302,Go Lala Go!,2010,100,"Comedy,Drama,Romance",5.1,597,,,,,,,,,
10303,The Missing,2017,95,"Action,Crime,Thriller",5.2,134,,,,,,,,,
10304,Olalla,2015,94,"Drama,Horror",4.6,36,,,,,,,,,
10305,Les aventures de Captain Brackmard et la Bite de Cristal,2010,66,Comedy,7.1,15,,,,,,,,,
10306,After Effect,2012,95,"Action,Horror,Thriller",4,360,,,,,,,,,
10307,A Million Colours,2011,115,Drama,6.6,234,,,,,,,,,
10308,My Legacy,2014,62,"Documentary,Drama",8.6,5,,,,,,,,,
10309,The Selfish Giant,2013,91,Drama,7.3,10682,,,,,,,,,
10310,Dark River,2017,90,"Drama,Mystery,Thriller",5.8,2333,,,,,,,,,
10311,ParaNorman,2012,92,"Adventure,Animation,Comedy",7,87250,,,,,,,,,
10312,A Family Affair,2015,82,"Biography,Documentary,Family",8.2,51,,,,,,,,,
10313,Five Star Existence,2011,90,"Documentary,Drama",6.1,24,,,,,,,,,
10314,Little Birds,2011,94,Drama,6.2,4565,,,,,,,,,
10315,Machete Maidens Unleashed!,2010,84,"Documentary,History",7.4,1445,,,,,,,,,
10316,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",2014,106,"Biography,Documentary,History",7.4,4637,,,,,,,,,
10317,Mr. and Mrs. Incredible,2011,100,"Action,Comedy,Romance",5.4,466,,,,,,,,,
10318,A Night for Dying Tigers,2010,90,Drama,5.7,383,,,,,,,,,
10319,The Undefeated,2011,118,"Biography,Documentary",2.2,1875,,,,,,,,,
10320,Vampire,2011,120,"Drama,Horror,Thriller",5.3,1376,,,,,,,,,
10321,A Estrada 47,2013,107,"Drama,History,War",6.3,494,,,,,,,,,
10322,Mir wëllen net bleiwen,2010,110,Documentary,6.9,10,,,,,,,,,
10323,North Sea Texas,2011,98,"Drama,Romance",7.2,7476,,,,,,,,,
10324,Souvenir,2016,90,"Drama,Music,Romance",6,823,,,,,,,,,
10325,Blood of My Blood,2011,131,"Drama,Thriller",7.4,1636,,,,,,,,,
10326,Fátima,2017,153,Drama,7,235,,,,,,,,,
10327,Benda Bilili!,2010,85,"Documentary,Music",7.5,732,,,,,,,,,
10328,Uncle David,2010,95,"Comedy,Horror,Thriller",3.7,152,,,,,,,,,
10329,Donner Pass,2011,90,Horror,4.6,2151,,,,,,,,,
10330,Hector and the Search for Happiness,2014,120,"Adventure,Comedy,Drama",7,41840,,,,,,,,,
10331,Make Up,2010,85,Documentary,8.1,7,,,,,,,,,
10332,On the Summit,2010,52,Documentary,8.7,7,,,,,,,,,
10333,Our Language,2011,52,Documentary,8,7,,,,,,,,,
10334,Perah istar,2012,60,Documentary,8.4,5,,,,,,,,,
10335,Living in Interesting Times,2013,68,Documentary,9,7,,,,,,,,,
10336,Person to Person,2017,84,"Comedy,Drama",5.7,1218,,,,,,,,,
10337,Ghosted,2011,102,"Drama,Thriller",5.8,580,,,,,,,,,
10338,Gone,2011,85,Documentary,6.5,104,,,,,,,,,
10339,Gone,2011,85,Documentary,6.5,104,,,,,,,,,
10340,Touchback,2011,118,"Drama,Family,Fantasy",6.5,3673,,,,,,,,,
10341,Independence Day: Resurgence,2016,120,"Action,Adventure,Sci-Fi",5.2,155344,,,,,,,,,
10342,Feathered Cocaine,2010,80,Documentary,8,91,,,,,,,,,
10343,Feathered Cocaine,2010,80,Documentary,8,91,,,,,,,,,
10344,I Am,2010,95,Drama,7,759,,,,,,,,,
10345,Ronal the Barbarian,2011,89,"Adventure,Animation,Comedy",6.6,11834,,,,,,,,,
10346,Ronal the Barbarian,2011,89,"Adventure,Animation,Comedy",6.6,11834,,,,,,,,,
10347,Ronal the Barbarian,2011,89,"Adventure,Animation,Comedy",6.6,11834,,,,,,,,,
10348,Kidnapped,2010,85,"Horror,Thriller",6.4,6729,,,,,,,,,
10349,Extinction,2015,112,"Drama,Horror,Sci-Fi",5.8,14710,,,,,,,,,
10350,Tu hijo,2018,103,Drama,6.1,2194,,,,,,,,,
10351,Parmanu: The Story of Pokhran,2018,129,"Action,Drama,History",7.7,16918,,,,,,,,,
10352,Nydenion,2010,89,Sci-Fi,4,248,,,,,,,,,
10353,Ravenous,2017,104,"Drama,Horror,Sci-Fi",5.9,5970,,,,,,,,,
10354,Tuktuq,2016,95,Drama,6.6,47,,,,,,,,,
10355,"Comrade, Where Are You Today?",2016,112,Documentary,7.8,20,,,,,,,,,
10356,Almanya: Welcome to Germany,2011,101,"Comedy,Drama",7.2,6071,,,,,,,,,
10357,Courageous,2011,129,Drama,7,17586,,,,,,,,,
10358,Body of Water,2011,105,"Drama,Thriller",5.4,640,,,,,,,,,
10359,Super Furball,2018,86,"Family,Fantasy",5.5,61,,,,,,,,,
10360,A Summer Family,2010,78,,5.1,13,,,,,,,,,
10361,Sacrifice,2011,100,"Action,Crime,Thriller",4.4,2293,,,,,,,,,
10362,A Dark Truth,2012,106,"Action,Thriller",5.6,5574,,,,,,,,,
10363,Pay in Full,2010,99,"Action,Crime,Drama",5.6,29,,,,,,,,,
10364,The Immature,2011,108,Comedy,6.1,2770,,,,,,,,,
10365,Perfect Strangers,2016,97,"Comedy,Drama",7.8,45614,,,,,,,,,
10366,The Place,2017,105,"Drama,Mystery,Thriller",7.1,6305,,,,,,,,,
10367,Sickness,2017,,"Action,Drama,Horror",5,52,,,,,,,,,
10368,Menschenliebe,2010,80,Comedy,5.7,23,,,,,,,,,
10369,Break-Up,2014,89,Comedy,8.1,7,,,,,,,,,
10370,Master of the Universe,2013,88,Documentary,7.2,1012,,,,,,,,,
10371,Human Terrain,2010,82,Documentary,7.3,14,,,,,,,,,
10372,The God Cells,2017,94,"Adventure,Documentary,Drama",8.2,13,,,,,,,,,
10373,The Boy Mir,2011,90,Documentary,7.1,106,,,,,,,,,
10374,Bird Idol,2010,100,Animation,6.2,6,,,,,,,,,
10375,La Melodie,2017,102,"Comedy,Drama,Music",6.5,456,,,,,,,,,
10376,Visa al paraíso,2010,108,"Documentary,Drama",8.4,17,,,,,,,,,
10377,See You in Montevideo,2014,141,"Adventure,Biography,Comedy",8.3,6058,,,,,,,,,
10378,The Cedar's Tears,2010,84,"Drama,Mystery,Thriller",8.4,37,,,,,,,,,
10379,Maslow's Lab,2011,82,"Horror,Mystery,Thriller",5.9,10,,,,,,,,,
10380,Violet & Daisy,2011,88,"Action,Comedy,Crime",6.1,11248,,,,,,,,,
10381,Soldiers of Paint,2013,98,"Documentary,History,Sport",7.6,48,,,,,,,,,
10382,Jitters,2010,93,"Drama,Romance",6.8,1378,,,,,,,,,
10383,Life in a Fishbowl,2014,129,Drama,7.3,1524,,,,,,,,,
10384,Reynir Sterki: Beyond Strength,2017,,Documentary,7.5,40,,,,,,,,,
10385,Overdose,2010,47,"Documentary,News",7.7,377,,,,,,,,,
10386,Apuntes para una biografía imaginaria,2010,60,Documentary,6.5,6,,,,,,,,,
10387,Centro,2010,90,Documentary,6.7,13,,,,,,,,,
10388,Dubai: A City of Dreams,2010,78,Documentary,6.3,13,,,,,,,,,
10389,The Peddler,2010,84,Documentary,7.8,66,,,,,,,,,
10390,The Peddler,2010,84,Documentary,7.8,66,,,,,,,,,
10391,The Intern,2010,65,,5.5,22,,,,,,,,,
10392,El predio,2010,58,Documentary,4.7,6,,,,,,,,,
10393,Toponimia,2015,82,,6.8,13,,,,,,,,,
10394,El rati horror show,2010,98,Documentary,7.8,389,,,,,,,,,
10395,Hacerme feriante,2010,93,,6.9,19,,,,,,,,,
10396,What I Love the Most,2010,76,,6.5,51,,,,,,,,,
10397,Black and White,2010,90,Drama,6.2,843,,,,,,,,,
10398,Will,2011,102,"Drama,Family,Sport",6.9,2987,,,,,,,,,
10399,Inheritance,2012,88,Drama,5.9,121,,,,,,,,,
10400,I Want to Be a Soldier,2010,100,Drama,5.9,672,,,,,,,,,
10401,The Lips,2010,100,Drama,6.6,88,,,,,,,,,
10402,The Lips,2010,100,Drama,6.6,88,,,,,,,,,
10403,Make No Little Plans: Daniel Burnham and the American City,2010,56,Documentary,7.7,12,,,,,,,,,
10404,Our Idiot Brother,2011,90,"Comedy,Drama",6.4,80738,,,,,,,,,
10405,Ted,2012,106,"Comedy,Fantasy",6.9,538367,,,,,,,,,
10406,A Million Ways to Die in the West,2014,116,"Comedy,Western",6.1,160534,,,,,,,,,
10407,Klara - Don't Be Afraid to Follow Your Dream,2010,81,Family,4.2,140,,,,,,,,,
10408,Mars et Avril,2012,90,"Drama,Fantasy,Music",6,719,,,,,,,,,
10409,Love Lasts Three Years,2011,98,"Comedy,Romance",6.1,4264,,,,,,,,,
10410,The Ideal,2016,90,Drama,5.1,571,,,,,,,,,
10411,"Octubre Pilagá, relatos sobre el silencio",2010,80,Documentary,6.4,7,,,,,,,,,
10412,The Patience Stone,2012,102,"Drama,War",7.1,4115,,,,,,,,,
10413,The Man from U.N.C.L.E.,2015,116,"Action,Adventure,Comedy",7.3,240606,,,,,,,,,
10414,The Ghosts in Our Machine,2013,93,Documentary,8.3,617,,,,,,,,,
10415,No Return,2010,104,"Drama,Thriller",7,740,,,,,,,,,
10416,Betibú,2014,100,"Crime,Mystery,Thriller",6.3,789,,,,,,,,,
10417,Little Baby Jesus of Flandr,2010,73,Drama,6,106,,,,,,,,,
10418,Blue Bird,2011,86,Drama,6,151,,,,,,,,,
10419,Mandie and the Cherokee Treasure,2010,104,"Action,Adventure,Family",4.7,118,,,,,,,,,
10420,Tallulah,2016,111,"Comedy,Drama,Romance",6.7,15075,,,,,,,,,
10421,Russendisko,2012,100,Comedy,5.6,1634,,,,,,,,,
10422,Udaan,2010,134,Drama,8.2,38827,,,,,,,,,
10423,Indiana Jones und der Speer des Schicksals,2010,66,"Action,Adventure",5.6,11,,,,,,,,,
10424,Justin and the Knights of Valour,2013,90,"Adventure,Animation,Family",6,5239,,,,,,,,,
10425,A Screaming Man,2010,92,Drama,6.7,1370,,,,,,,,,
10426,A Season in France,2017,100,Drama,6.2,238,,,,,,,,,
10427,Familia,2010,82,Documentary,6.1,24,,,,,,,,,
10428,Familia,2010,82,Documentary,6.1,24,,,,,,,,,
10429,Lost Years,2010,70,Drama,7,46,,,,,,,,,
10430,V/H/S/2,2013,96,"Horror,Thriller",6.1,33319,,,,,,,,,
10431,Rampart,2011,108,"Crime,Drama",5.8,22094,,,,,,,,,
10432,Time Out of Mind,2014,120,Drama,5.7,3556,,,,,,,,,
10433,Pe3,2012,88,"Action,Comedy",2.3,15,,,,,,,,,
10434,Heartbound: A Different Kind of Love Story,2018,90,Documentary,7.3,91,,,,,,,,,
10435,The Christmas Bunny,2010,98,"Drama,Family",6.1,662,,,,,,,,,
10436,Song of the Sea,2014,93,"Adventure,Animation,Drama",8.1,43966,,,,,,,,,
10437,The Hot Potato,2012,95,Drama,5.3,603,,,,,,,,,
10438,The Wereth Eleven,2011,70,Action,6.1,159,,,,,,,,,
10439,Gettysburg: The Final Measure of Devotion,2013,60,Action,7.5,8,,,,,,,,,
10440,96 Minutes,2011,93,"Drama,Thriller",5.7,3101,,,,,,,,,
10441,Little Gobie,2010,87,"Animation,Family",3,42,,,,,,,,,
10442,Sky Force 3D,2012,91,Animation,3.3,240,,,,,,,,,
10443,Terraferma,2011,88,Drama,6.8,2798,,,,,,,,,
10444,108,2010,93,Documentary,7.3,105,,,,,,,,,
10445,Shock Wave,2017,119,"Action,Thriller",6.4,2054,,,,,,,,,
10446,Prokletstvo Krumpira,2010,101,"Comedy,Mystery,Thriller",8,80,,,,,,,,,
10447,He Never Died,2015,99,"Comedy,Drama,Fantasy",6.4,14973,,,,,,,,,
10448,Citadel,2012,84,"Drama,Horror,Thriller",5.5,6343,,,,,,,,,
10449,Behind the Walls,2011,90,"Drama,Horror,Mystery",4.4,512,,,,,,,,,
10450,Behind the Walls,2011,90,"Drama,Horror,Mystery",4.4,512,,,,,,,,,
10451,The Big Tits Dragon,2010,73,"Action,Comedy,Horror",4.4,1198,,,,,,,,,
10452,It's Us,2010,70,Documentary,6,14,,,,,,,,,
10453,Hell,2011,89,"Horror,Sci-Fi,Thriller",5.9,11261,,,,,,,,,
10454,The Goa Run,2014,112,"Action,Crime,Romance",7.1,52,,,,,,,,,
10455,Ganavim Ba Hok,2010,90,"Biography,Documentary",7.3,369,,,,,,,,,
10456,The Levenger Tapes,2013,92,"Horror,Thriller",4.3,571,,,,,,,,,
10457,I Will Follow You Into the Dark,2012,112,"Drama,Horror,Romance",4.6,1130,,,,,,,,,
10458,The Art of Getting By,2011,83,"Drama,Romance",6.6,53682,,,,,,,,,
10459,Inside Job,2010,109,"Crime,Documentary",8.3,65304,,,,,,,,,
10460,Panman,2011,85,"Comedy,Horror,Romance",3,156,,,,,,,,,
10461,Planzet,2010,53,"Action,Animation,Sci-Fi",4.6,290,,,,,,,,,
10462,Sandcastle,2010,91,Drama,6.3,116,,,,,,,,,
10463,Apprentice,2016,115,Drama,6.5,1297,,,,,,,,,
10464,Amanda & Jack Go Glamping,2017,94,"Comedy,Drama,Romance",4.4,491,,,,,,,,,
10465,The Infernal Room,2011,85,"Horror,Thriller",5.1,9,,,,,,,,,
10466,Vrindavana,2010,90,Documentary,8.2,5,,,,,,,,,
10467,"Life, Above All",2010,100,Drama,7.1,1243,,,,,,,,,
10468,My Joy,2010,127,"Adventure,Drama",6.9,2013,,,,,,,,,
10469,The Event,2015,74,"Documentary,History",6.8,314,,,,,,,,,
10470,A Gentle Creature,2017,143,"Drama,Mystery",6.6,1584,,,,,,,,,
10471,Donbass,2018,122,Drama,7,1687,,,,,,,,,
10472,October,2010,83,Drama,6.4,494,,,,,,,,,
10473,October,2010,83,Drama,6.4,494,,,,,,,,,
10474,Chongqing Blues,2010,110,Drama,6.5,171,,,,,,,,,
10475,11 Flowers,2011,110,Drama,7.1,548,,,,,,,,,
10476,Red Amnesia,2014,116,"Crime,Drama,Thriller",6.9,457,,,,,,,,,
10477,Lights Out,2010,87,"Drama,Mystery,Thriller",6.4,971,,,,,,,,,
10478,The Happiest Day in the Life of Olli Mäki,2016,92,"Biography,Drama,Romance",7.2,3504,,,,,,,,,
10479,Deep Dark Canyon,2013,90,"Action,Drama,Thriller",5,903,,,,,,,,,
10480,Outbound,2010,87,"Action,Drama",6.7,721,,,,,,,,,
10481,5x Pacificação,2012,,Documentary,4.8,8,,,,,,,,,
10482,"Don't Swallow My Heart, Alligator Girl!",2017,106,Drama,5.8,138,,,,,,,,,
10483,The Autobiography of Nicolae Ceausescu,2010,180,"Biography,Documentary,History",7.7,1290,,,,,,,,,
10484,"Secretly, Greatly",2013,124,"Action,Comedy,Drama",6.9,3010,,,,,,,,,
10485,Cleveland vs. Wall Street,2010,98,Documentary,6.9,197,,,,,,,,,
10486,L'expérience Blocher,2013,100,Documentary,7,72,,,,,,,,,
10487,The Wanderer,2010,86,Drama,6.2,57,,,,,,,,,
10488,The Silent House,2010,86,"Adventure,Drama,Horror",5.4,7121,,,,,,,,,
10489,Local God,2014,90,Horror,5.6,78,,,,,,,,,
10490,You Shall Not Sleep,2018,106,"Horror,Mystery,Thriller",5.1,873,,,,,,,,,
10491,The Names of Love,2010,100,"Comedy,Drama,Romance",7.2,7127,,,,,,,,,
10492,Le Quattro Volte,2010,88,Drama,7.2,3354,,,,,,,,,
10493,The Light Thief,2010,80,Drama,6.5,369,,,,,,,,,
10494,Centaur,2017,89,Drama,6.7,265,,,,,,,,,
10495,The Double,2011,98,"Action,Crime,Drama",5.9,26994,,,,,,,,,
10496,Eden,2012,98,"Crime,Drama",6.7,7709,,,,,,,,,
10497,You All Are Captains,2010,78,Drama,6.2,118,,,,,,,,,
10498,Mimosas,2016,96,Drama,6.4,621,,,,,,,,,
